fetched_at,bk,name,pct
2026-08-17T23:41:41.952166+08:00,BK1293,营销代理,0.67
2026-08-17T23:41:41.952166+08:00,BK1220,广告营销,0.61
2026-08-17T23:41:41.952166+08:00,BK0486,传媒,-0.02
2026-08-17T23:41:41.952166+08:00,BK0150,北京板块,1.3
2026-08-17T23:41:41.952166+08:00,BK1717,题材股,3.36
2026-08-17T23:41:41.952166+08:00,BK1669,中盘成长,2.76
2026-08-17T23:41:41.952166+08:00,BK0638,创业成份,2.57
2026-08-17T23:41:41.952166+08:00,BK0535,QFII重仓,2.24
2026-08-17T23:41:41.952166+08:00,BK1090,机器人概念,2.17
2026-08-17T23:41:41.952166+08:00,BK0742,创业板综,2.13
2026-08-17T23:41:41.952166+08:00,BK0596,融资融券,1.86
2026-08-17T23:41:41.952166+08:00,BK0804,深股通,1.81
2026-08-17T23:41:41.952166+08:00,BK1664,中盘股,1.81
2026-08-17T23:41:41.952166+08:00,BK0568,深成500,1.72
2026-08-17T23:41:41.952166+08:00,BK1115,跨境电商,1.6
2026-08-17T23:41:41.952166+08:00,BK0701,中证500,1.53
2026-08-17T23:41:41.952166+08:00,BK0821,MSCI中国,1.52
2026-08-17T23:41:41.952166+08:00,BK1699,股权分散,1.43
2026-08-17T23:41:41.952166+08:00,BK1022,职业教育,1.4
2026-08-17T23:41:41.952166+08:00,BK0800,人工智能,1.31
2026-08-17T23:41:41.952166+08:00,BK1126,ChatGPT概念,1.15
2026-08-17T23:41:41.952166+08:00,BK0940,网红经济,1.12
2026-08-17T23:41:41.952166+08:00,BK1187,小红书概念,1.09
2026-08-17T23:41:41.952166+08:00,BK0867,富时罗素,1.02
2026-08-17T23:41:41.952166+08:00,BK1111,AIGC概念,0.91
2026-08-17T23:41:41.952166+08:00,BK0923,抖音概念(字节概念),0.9
2026-08-17T23:41:41.952166+08:00,BK1009,元宇宙概念,0.9
2026-08-17T23:41:41.952166+08:00,BK0634,大数据,0.87
2026-08-17T23:41:41.952166+08:00,BK0809,AI智能体,0.84
2026-08-17T23:41:41.952166+08:00,BK0845,百度概念,0.84
2026-08-17T23:41:41.952166+08:00,BK1182,智谱AI概念,0.62
2026-08-17T23:41:41.952166+08:00,BK1055,虚拟数字人,0.59
2026-08-17T23:41:41.952166+08:00,BK0662,在线教育,0.57
2026-08-17T23:41:41.952166+08:00,BK1151,短剧互动游戏,0.52
2026-08-17T23:41:41.952166+08:00,BK1629,AI应用,0.5
2026-08-17T23:41:41.952166+08:00,BK0830,区块链,0.37
2026-08-17T23:41:41.952166+08:00,BK0972,快手概念,0.32
2026-08-17T23:41:41.952166+08:00,BK1110,Web3.0,0.16
2026-08-17T23:41:41.952166+08:00,BK1654,文娱消费,-0.07
