bk,name,pct_chg,price,turnover,volume_ratio,total_mv,float_mv,amount,_fetched_at
BK1645,昨日打二板以上表现,5.98,17353.27,20.95,1.85,66724840000,63875278000,12313298560.0,2026-08-17T23:41:54.393072+08:00
BK1152,高带宽内存,5.73,2834.04,6.73,1.21,2394282368000,2178657856000,76349009665.0,2026-08-17T23:41:54.393072+08:00
BK1051,昨日连板_含一字,5.68,59894.06,17.86,0.59,78915322000,72929953000,13220546518.0,2026-08-17T23:41:54.393072+08:00
BK1175,玻璃基板,5.15,2744.75,5.3,1.42,1545893744000,1441879488000,81650680119.0,2026-08-17T23:41:54.393072+08:00
BK1023,培育钻石,5.06,2901.3,2.86,1.03,289909184000,270048304000,11259399437.0,2026-08-17T23:41:54.393072+08:00
BK1101,先进封装,4.86,3635.47,6.97,1.38,3436586592000,2670863056000,139913991374.0,2026-08-17T23:41:54.393072+08:00
BK1137,存储芯片,4.81,3136.4,6.18,1.25,13058451712000,6902688256000,356941303873.0,2026-08-17T23:41:54.393072+08:00
BK0536,基金重仓,4.79,17515.77,4.18,1.0,9262604544000,8590748928000,331262098623.0,2026-08-17T23:41:54.393072+08:00
BK0935,中芯概念,4.7,2880.8,4.26,1.14,5097234944000,3835598448000,148876693268.0,2026-08-17T23:41:54.393072+08:00
BK0816,昨日连板,4.51,31838.3,16.75,0.25,38496897000,34964193000,5927605763.0,2026-08-17T23:41:54.393072+08:00
BK1128,CPO概念,4.5,9303.17,5.12,1.17,7513456640000,6878767104000,313913599637.0,2026-08-17T23:41:54.393072+08:00
BK0946,EDA概念,4.49,1543.47,1.93,1.12,338344976000,231116084000,8683904388.0,2026-08-17T23:41:54.393072+08:00
BK0907,转基因,4.23,1353.3,3.53,1.29,125263075000,102107281000,3727793562.0,2026-08-17T23:41:54.393072+08:00
BK0884,光刻机,4.17,5255.27,4.28,0.94,1634295232000,1380903136000,51091653556.0,2026-08-17T23:41:54.393072+08:00
BK0674,蓝宝石,4.14,4221.91,4.04,1.07,802693680000,762820672000,35275347961.0,2026-08-17T23:41:54.393072+08:00
BK1059,百元股,4.14,1000.83,3.85,1.05,25739812864000,19943156480000,669447445869.0,2026-08-17T23:41:54.393072+08:00
BK0877,PCB,4.11,4211.9,5.0,1.03,6175464960000,5134281472000,243530558679.0,2026-08-17T23:41:54.393072+08:00
BK1136,光通信模块,4.11,4008.45,5.62,1.11,6588979712000,5726320896000,293754341024.0,2026-08-17T23:41:54.393072+08:00
BK1199,2025三季报预减,4.1,1235.31,4.71,1.11,67945251000,64998414000,2980579206.0,2026-08-17T23:41:54.393072+08:00
BK1168,铜缆高速连接,4.05,2665.31,4.16,1.3,1354148672000,1263059392000,56225381419.0,2026-08-17T23:41:54.393072+08:00
BK0917,半导体概念,4.04,2989.87,3.87,1.12,24142905344000,15242793472000,675778373482.0,2026-08-17T23:41:54.393072+08:00
BK1113,复合集流体,4.03,2010.7,3.95,0.93,510961264000,445053840000,20979040234.0,2026-08-17T23:41:54.393072+08:00
BK0969,汽车芯片,3.99,1651.85,3.14,1.05,2283344672000,2157006656000,116845603657.0,2026-08-17T23:41:54.393072+08:00
BK1676,百日新高,3.96,1585.8,16.73,0.55,172569092000,154293118000,16511174017.0,2026-08-17T23:41:54.393072+08:00
BK1160,柔性屏(折叠屏),3.93,2301.19,4.17,1.18,1787575440000,1594145504000,73342940100.0,2026-08-17T23:41:54.393072+08:00
BK1048,IGBT概念,3.86,1058.35,2.75,0.95,2112663248000,1520162288000,47428232652.0,2026-08-17T23:41:54.393072+08:00
BK1177,荣耀概念,3.81,2335.82,5.29,1.34,5503466496000,1413595024000,83686515019.0,2026-08-17T23:41:54.393072+08:00
BK1086,粮食概念,3.81,707.72,3.87,1.95,203542959000,175583836000,6582248815.0,2026-08-17T23:41:54.393072+08:00
BK1092,麒麟电池,3.68,1919.95,1.48,1.12,1975084640000,1816048240000,11372462876.0,2026-08-17T23:41:54.393072+08:00
BK0666,苹果概念,3.65,5448.19,3.49,1.23,5562542848000,5162300416000,150595436907.0,2026-08-17T23:41:54.393072+08:00
BK1753,光刻胶,3.63,1168.31,4.82,1.02,916325264000,760496608000,41608646274.0,2026-08-17T23:41:54.393072+08:00
BK1660,光纤概念,3.62,1197.61,4.09,1.23,3839879840000,3465961184000,193023002940.0,2026-08-17T23:41:54.393072+08:00
BK1127,AI芯片,3.58,1971.63,2.52,0.82,3114553056000,2435191792000,63801407571.0,2026-08-17T23:41:54.393072+08:00
BK1700,密集调研,3.58,1144.93,3.22,1.39,2201839392000,2003231344000,52059646867.0,2026-08-17T23:41:54.393072+08:00
BK1681,2026一季报预减,3.56,944.65,2.75,0.96,183528196000,131687421000,5407699754.0,2026-08-17T23:41:54.393072+08:00
BK0840,OLED,3.54,4419.87,4.07,1.12,2890225424000,2324505856000,114752982582.0,2026-08-17T23:41:54.393072+08:00
