date,open,high,low,close,volume,amount,pct_chg,fetch_source
2022-07-26,28.37,28.9,28.06,28.64,12719116.0,365483162.0,0.0,AkshareFetcher
2022-07-27,28.53,28.66,28.21,28.34,11673844.0,333034294.0,-1.0474860335195513,AkshareFetcher
2022-07-28,28.65,29.24,28.22,29.1,23307270.0,674440634.0,2.681721947777005,AkshareFetcher
2022-07-29,29.1,29.19,28.24,28.29,17605028.0,504614405.0,-2.7835051546391876,AkshareFetcher
2022-08-01,28.26,28.26,27.16,27.94,20787525.0,576856898.0,-1.237186284906322,AkshareFetcher
2022-08-02,27.66,27.66,26.37,26.86,22720259.0,614207351.0,-3.8654259126700174,AkshareFetcher
2022-08-03,26.53,28.85,26.53,27.86,31544609.0,886327195.0,3.7230081906180157,AkshareFetcher
2022-08-04,27.86,28.36,27.11,27.38,18778693.0,521709913.0,-1.7229002153625328,AkshareFetcher
2022-08-05,27.64,28.63,27.23,28.45,27080433.0,764090593.0,3.9079620160701323,AkshareFetcher
2022-08-08,28.26,29.2,27.98,28.95,22043658.0,639306499.0,1.7574692442882345,AkshareFetcher
2022-08-09,29.02,29.1,28.6,28.75,13706452.0,396320919.0,-0.6908462867012077,AkshareFetcher
2022-08-10,28.75,29.35,28.66,28.89,22336522.0,652158501.0,0.48695652173913473,AkshareFetcher
2022-08-11,28.98,29.2,28.32,29.03,21966436.0,635263271.0,0.48459674627898686,AkshareFetcher
2022-08-12,29.0,29.65,28.75,28.79,19186696.0,562316075.0,-0.8267309679641843,AkshareFetcher
2022-08-15,28.55,30.21,28.45,30.2,45496182.0,1361286835.0,4.897533865925663,AkshareFetcher
2022-08-16,30.09,30.09,29.28,29.51,31841716.0,946395444.0,-2.284768211920518,AkshareFetcher
2022-08-17,29.4,29.45,28.8,29.22,18712944.0,546932094.0,-0.982717722805837,AkshareFetcher
2022-08-18,29.01,29.4,28.96,29.08,13008388.0,380826173.0,-0.479123887748123,AkshareFetcher
2022-08-19,29.09,29.16,27.96,28.08,18837017.0,540970612.0,-3.438789546079779,AkshareFetcher
2022-08-22,27.86,28.45,27.26,28.44,16514719.0,463842795.0,1.2820512820512997,AkshareFetcher
2022-08-23,28.17,28.41,27.94,28.05,11372053.0,320704196.0,-1.371308016877637,AkshareFetcher
2022-08-24,28.31,28.6,27.28,27.35,17496058.0,488528545.0,-2.4955436720142554,AkshareFetcher
2022-08-25,27.2,27.52,26.56,27.06,14798903.0,401730575.0,-1.0603290676416965,AkshareFetcher
2022-08-26,27.06,27.78,27.06,27.25,11407396.0,313935379.0,0.7021433850702197,AkshareFetcher
2022-08-29,26.71,27.1,26.56,26.86,9299197.0,251109900.0,-1.4311926605504621,AkshareFetcher
2022-08-30,27.01,27.14,26.63,26.91,8357488.0,225539783.0,0.18615040953089412,AkshareFetcher
2022-08-31,26.66,26.99,26.16,26.2,11860275.0,314799960.0,-2.6384243775548155,AkshareFetcher
2022-09-01,26.18,26.37,25.93,25.98,7581592.0,199384837.0,-0.8396946564885432,AkshareFetcher
2022-09-02,25.99,26.21,25.88,26.12,6729210.0,176036336.0,0.5388760585065544,AkshareFetcher
2022-09-05,26.06,26.11,25.83,25.88,7247608.0,188897296.0,-0.9188361408882129,AkshareFetcher
2022-09-06,25.91,26.53,25.91,26.45,12195482.0,322380284.0,2.202472952086554,AkshareFetcher
2022-09-07,26.37,26.85,26.25,26.68,11550832.0,309336375.0,0.8695652173912993,AkshareFetcher
2022-09-08,26.69,26.81,26.35,26.37,7064531.0,188359266.0,-1.161919040479753,AkshareFetcher
2022-09-09,26.37,26.82,26.37,26.77,10153614.0,272498258.0,1.516875237011761,AkshareFetcher
2022-09-13,26.77,27.6,26.77,27.36,14807699.0,407298397.0,2.203959656331711,AkshareFetcher
2022-09-14,26.86,27.26,26.66,26.84,10074171.0,272241561.0,-1.900584795321636,AkshareFetcher
2022-09-15,26.96,27.12,25.47,25.99,14878246.0,391374302.0,-3.166915052160957,AkshareFetcher
2022-09-16,25.99,26.0,24.34,24.52,17615899.0,441365529.0,-5.656021546748747,AkshareFetcher
2022-09-19,24.46,24.71,24.08,24.24,9069775.0,221998252.0,-1.1419249592169667,AkshareFetcher
2022-09-20,24.56,25.52,24.56,25.12,13906120.0,351036825.0,3.630363036303641,AkshareFetcher
2022-09-21,26.73,27.64,26.05,27.64,51700768.0,1410955144.0,10.031847133757953,AkshareFetcher
2022-09-22,28.25,29.09,27.88,27.94,64013422.0,1833397565.0,1.085383502170778,AkshareFetcher
2022-09-23,27.81,27.91,26.65,27.13,37323276.0,1021066114.0,-2.8990694345025103,AkshareFetcher
2022-09-26,27.21,28.62,26.76,28.27,46301396.0,1298797077.0,4.2019904165130795,AkshareFetcher
2022-09-27,27.97,28.46,27.59,28.43,33407101.0,941986730.0,0.5659709939865643,AkshareFetcher
2022-09-28,27.94,28.05,26.92,26.99,27630843.0,763793918.0,-5.0650721069293025,AkshareFetcher
2022-09-29,27.49,27.71,26.45,26.57,22396606.0,607536507.0,-1.556131900703961,AkshareFetcher
2022-09-30,26.36,27.31,26.12,26.19,20202308.0,541510406.0,-1.430184418517122,AkshareFetcher
2022-10-10,26.03,26.44,25.16,25.41,18029938.0,466329093.0,-2.97823596792669,AkshareFetcher
2022-10-11,25.53,26.09,25.47,25.97,14665558.0,380521859.0,2.203856749311295,AkshareFetcher
2022-10-12,25.82,26.32,24.47,26.28,24775270.0,632193671.0,1.1936850211782923,AkshareFetcher
2022-10-13,26.72,28.9,26.51,28.9,39441526.0,1123846492.0,9.96955859969557,AkshareFetcher
2022-10-14,29.35,30.23,28.98,29.6,69572750.0,2062334424.0,2.422145328719738,AkshareFetcher
2022-10-17,29.36,29.69,28.73,29.68,34490482.0,1015182527.0,0.2702702702702675,AkshareFetcher
2022-10-18,29.45,30.13,29.07,29.26,33687488.0,996278943.0,-1.4150943396226356,AkshareFetcher
2022-10-19,29.14,29.26,28.45,28.5,26150115.0,756322584.0,-2.5974025974025983,AkshareFetcher
2022-10-20,28.34,29.19,28.25,28.71,30392545.0,880548444.0,0.7368421052631691,AkshareFetcher
2022-10-21,28.71,28.92,28.09,28.35,22450046.0,643055841.0,-1.253918495297801,AkshareFetcher
2022-10-24,28.26,29.0,27.62,28.04,24105115.0,686095099.0,-1.0934744268077723,AkshareFetcher
2022-10-25,28.16,28.21,26.72,27.88,22289051.0,614694453.0,-0.5706134094151216,AkshareFetcher
2022-10-26,27.94,29.07,27.63,28.9,33799391.0,967402895.0,3.658536585365857,AkshareFetcher
2022-10-27,28.86,30.15,28.58,29.7,52238554.0,1551717127.0,2.768166089965396,AkshareFetcher
2022-10-28,29.44,30.13,29.17,29.21,45647681.0,1363495646.0,-1.6498316498316457,AkshareFetcher
2022-10-31,28.85,29.45,27.36,28.69,32397052.0,921875871.0,-1.7802122560766853,AkshareFetcher
2022-11-01,28.84,31.56,28.8,31.56,37721292.0,1167310159.0,10.003485535029611,AkshareFetcher
2022-11-02,32.31,34.71,32.04,34.71,94595642.0,3183328450.0,9.980988593155903,AkshareFetcher
2022-11-03,35.02,36.41,34.05,34.21,117446180.0,4152378638.0,-1.4405070584845858,AkshareFetcher
2022-11-04,34.33,35.5,33.41,35.18,75372233.0,2621013341.0,2.8354282373574957,AkshareFetcher
2022-11-07,35.27,38.6,35.11,37.52,98936321.0,3669843955.0,6.651506537805574,AkshareFetcher
2022-11-08,36.91,38.43,36.82,38.25,71444978.0,2705017467.0,1.9456289978677876,AkshareFetcher
2022-11-09,38.47,38.66,36.59,36.81,63222657.0,2361243644.0,-3.7647058823529367,AkshareFetcher
2022-11-10,36.18,37.35,35.54,36.19,60065454.0,2200444986.0,-1.68432491170879,AkshareFetcher
2022-11-11,37.11,37.26,33.98,34.26,87461708.0,3099949604.0,-5.3329649074329915,AkshareFetcher
2022-11-14,34.13,34.3,32.87,33.39,51852882.0,1749064275.0,-2.539404553415059,AkshareFetcher
2022-11-15,33.39,34.42,33.08,34.22,47540670.0,1623949165.0,2.4857741838873793,AkshareFetcher
2022-11-16,33.74,34.18,33.23,33.38,32888218.0,1113441543.0,-2.45470485096434,AkshareFetcher
2022-11-17,33.15,34.55,33.06,34.46,52728894.0,1802659742.0,3.2354703415218733,AkshareFetcher
2022-11-18,34.24,34.31,33.41,33.74,33909125.0,1150272859.0,-2.0893789901334836,AkshareFetcher
2022-11-21,33.35,34.15,32.98,33.91,23419510.0,794633735.0,0.5038529934795255,AkshareFetcher
2022-11-22,33.62,35.29,32.57,35.04,63567312.0,2186518587.0,3.3323503391330167,AkshareFetcher
2022-11-23,34.52,35.04,34.13,34.56,37841263.0,1313133219.0,-1.3698630136986245,AkshareFetcher
2022-11-24,34.49,34.59,32.84,32.88,40065588.0,1350320857.0,-4.861111111111105,AkshareFetcher
2022-11-25,32.6,33.18,31.98,32.13,30626897.0,997796686.0,-2.2810218978102204,AkshareFetcher
2022-11-28,31.65,32.71,31.47,32.37,22275985.0,723590486.0,0.7469654528477809,AkshareFetcher
2022-11-29,32.3,32.94,32.1,32.78,23579860.0,772762531.0,1.2666048810627162,AkshareFetcher
2022-11-30,32.77,33.0,32.33,32.6,23383690.0,767058043.0,-0.5491153142159866,AkshareFetcher
2022-12-01,32.79,34.32,32.62,33.92,46624162.0,1570517123.0,4.049079754601226,AkshareFetcher
2022-12-02,33.83,34.58,33.36,33.43,31570574.0,1075729238.0,-1.4445754716981174,AkshareFetcher
2022-12-05,33.26,36.68,33.01,35.42,62196459.0,2189615018.0,5.952737062518709,AkshareFetcher
2022-12-06,34.81,35.57,34.52,35.42,34367448.0,1210638332.0,0.0,AkshareFetcher
2022-12-07,35.02,35.94,34.62,34.82,28009845.0,990235062.0,-1.6939582156973554,AkshareFetcher
2022-12-08,34.62,34.97,34.18,34.23,20537529.0,712122035.0,-1.6944284893739336,AkshareFetcher
2022-12-09,33.91,35.48,33.91,35.02,31243583.0,1092392903.0,2.3079170318434317,AkshareFetcher
2022-12-12,34.86,35.0,34.31,34.41,18373266.0,637492787.0,-1.7418617932610125,AkshareFetcher
2022-12-13,34.4,35.98,34.22,34.82,35294203.0,1255164506.0,1.1915140947399205,AkshareFetcher
2022-12-14,34.75,35.26,33.98,34.17,22367453.0,776324493.0,-1.8667432510051651,AkshareFetcher
2022-12-15,34.02,35.02,33.2,34.89,27035020.0,922919164.0,2.1071115013169495,AkshareFetcher
2022-12-16,34.46,34.94,33.85,34.12,17293320.0,597658709.0,-2.2069360848380737,AkshareFetcher
2022-12-19,33.81,34.21,32.53,32.77,21349774.0,713608686.0,-3.9566236811254263,AkshareFetcher
2022-12-20,33.17,34.03,32.67,33.26,17088500.0,572508332.0,1.4952700640829875,AkshareFetcher
2022-12-21,33.33,33.49,32.23,32.48,14242110.0,468556533.0,-2.3451593505712576,AkshareFetcher
2022-12-22,32.81,32.92,32.08,32.28,12456530.0,407551688.0,-0.6157635467980205,AkshareFetcher
2022-12-23,32.14,32.73,31.64,32.57,10930698.0,355702349.0,0.8983890954151086,AkshareFetcher
2022-12-26,32.57,33.17,32.3,33.04,12226408.0,404171832.0,1.4430457476205083,AkshareFetcher
2022-12-27,33.16,33.94,33.06,33.76,20201717.0,682817247.0,2.1791767554479424,AkshareFetcher
2022-12-28,33.38,33.83,33.02,33.09,14069368.0,470808582.0,-1.9845971563980935,AkshareFetcher
2022-12-29,32.83,33.78,31.84,33.23,14740221.0,491462837.0,0.4230885463886169,AkshareFetcher
2022-12-30,33.3,33.49,32.67,32.71,11466659.0,379773205.0,-1.5648510382184622,AkshareFetcher
2023-01-03,33.84,35.69,33.82,34.89,53496829.0,1868008694.0,6.66462855395904,AkshareFetcher
2023-01-04,35.17,35.17,33.44,33.76,33422061.0,1137459482.0,-3.2387503582688493,AkshareFetcher
2023-01-05,33.83,34.42,33.56,33.97,22365183.0,766142591.0,0.622037914691953,AkshareFetcher
2023-01-06,33.78,34.95,33.71,34.26,29724359.0,1030212160.0,0.8536944362672827,AkshareFetcher
2023-01-09,34.65,34.8,33.92,34.5,25357598.0,878011433.0,0.700525394045548,AkshareFetcher
2023-01-10,34.23,34.6,33.84,34.34,18057487.0,619396415.0,-0.4637681159420204,AkshareFetcher
2023-01-11,34.24,34.87,34.24,34.41,18806516.0,653722453.0,0.2038439138031256,AkshareFetcher
2023-01-12,34.38,34.68,33.97,34.22,13404609.0,462251659.0,-0.5521650682940971,AkshareFetcher
2023-01-13,34.32,34.88,34.18,34.51,16653433.0,577756966.0,0.8474576271186418,AkshareFetcher
2023-01-16,34.57,35.32,34.51,34.87,25287377.0,888306119.0,1.0431758910460776,AkshareFetcher
2023-01-17,35.02,36.12,34.11,34.66,24786837.0,871347530.0,-0.6022368798394018,AkshareFetcher
2023-01-18,34.66,34.96,34.52,34.71,12304080.0,429383690.0,0.14425851125217104,AkshareFetcher
2023-01-19,34.61,34.97,34.42,34.83,12850129.0,448285785.0,0.34572169403628283,AkshareFetcher
2023-01-20,34.79,38.31,34.72,38.31,77723718.0,2933017821.0,9.991386735572805,AkshareFetcher
2023-01-30,39.0,41.38,38.79,40.79,96834013.0,3907224135.0,6.473505612111707,AkshareFetcher
2023-01-31,40.66,41.59,40.1,41.04,58736059.0,2408942693.0,0.6128953174797669,AkshareFetcher
2023-02-01,40.96,45.05,40.67,43.57,84668820.0,3699019550.0,6.164717348927873,AkshareFetcher
2023-02-02,42.58,44.75,42.58,43.76,56460052.0,2483461749.0,0.43607987147118443,AkshareFetcher
2023-02-03,43.53,44.07,42.36,43.08,49039981.0,2113086041.0,-1.5539305301645379,AkshareFetcher
2023-02-06,42.47,43.93,41.93,43.7,41110689.0,1786010720.0,1.4391829155060432,AkshareFetcher
2023-02-07,42.99,43.59,42.37,43.16,33551508.0,1446779112.0,-1.235697940503444,AkshareFetcher
